State,Value
 O  X OX ,0.0
 O  X OXX,0.0
 O  X X  ,0.0
 O  X X O,0.0
 O  X XO ,0.0
 O  X XXO,0.0
 O  XO  X,0.0
 O  XO X ,0.0
 O  XO XX,0.0
 O  XOOXX,0.0
 O  XOX  ,1.0
 O  XOXX ,0.0
 O  XX   ,0.0
 O  XX  O,0.0
 O  XX O ,1.0
 O  XX XO,0.0
 O  XXO  ,1.0
 O  XXO X,0.0
 O  XXOOX,1.0
 O  XXOX ,0.0
 O  XXOXO,1.0
 O  XXX O,0.0
 O  XXXO ,0.0
 O  XXXOO,0.0
 O O  X X,1.0
 O O  XX ,0.0
 O O  XXX,1.0
 O O X X ,0.0
 O O X XX,0.0
 O O XX  ,0.0
 O OOX XX,0.0
 O OX  X ,0.0
 O OX XX ,0.0
 O OXO XX,0.0
 O OXOXX ,0.0
 O OXX   ,0.0
 O OXX X ,0.0
 O OXX XO,0.0
 O X     ,0.0
 O X    X,0.0
 O X   OX,0.0
 O X   X ,0.0
 O X   XO,0.0
 O X  OXX,0.0
 O X  X  ,0.0
 O X  X O,0.0
 O X  XO ,0.0
 O X  XOX,0.0
 O X  XXO,0.0
 O X O  X,0.0
 O X OX  ,0.0
 O X OX X,0.0
 O X X  O,0.0
 O X X O ,1.0
 O X X OX,0.0
 O X X XO,0.0
 O X XO  ,1.0
 O X XOX ,0.0
 O X XX O,0.0
 O X XXO ,-1.0
 O XO OXX,0.0
 O XO X  ,1.0
 O XOO XX,0.0
 O XOXOXX,0.0
 O XOXX  ,0.0
 O XOXXO ,-1.0
 O XOXXXO,-1.0
 O XX    ,0.0
 O XX   O,1.0
 O XX  O ,0.0
 O XX  OX,0.0
 O XX  XO,0.0
 O XX O  ,0.0
 O XX OOX,0.0
 O XX OXO,0.0
 O XXO   ,0.0
 O XXO  X,0.0
 O XXO X ,0.0
 O XXO XO,0.0
 O XXOO X,1.0
 O XXOOX ,0.0
 O XXOOXX,0.0
 O XXOX  ,0.0
 O XXOX O,0.0
 O XXOXXO,0.0
 O XXX  O,1.0
 O XXX O ,1.0
 O XXXO  ,1.0
 O XXXOOX,1.0
 O XXXOXO,1.0
 O XXXXOO,1.0
 OO    XX,1.0
 OO   X X,1.0
 OO   XX ,1.0
 OO   XXX,1.0
 OO  X  X,0.0
 OO  X X ,0.0
 OO  XX  ,0.0
 OO  XXX ,0.0
 OO  XXXO,0.0
 OO OXXX ,0.0
 OO OXXXX,1.0
 OO X   X,1.0
 OO X X  ,0.0
 OO X X X,0.0
 OO XO XX,0.0
 OO XOX X,1.0
 OO XOXXX,1.0
 OO XX   ,0.0
 OO XX  X,-1.0
 OO XX X ,0.0
 OO XXO X,0.0
 OO XXXO ,0.0
 OO XXXOX,0.0
 OOOXX  X,0.0
 OOOXXXOX,0.0
 OOOXXXXO,0.0
 OOX    X,0.0
 OOX   X ,0.0
 OOX   XX,0.0
 OOX  X  ,1.0
 OOX  XX ,0.0
 OOX  XXO,1.0
 OOX O XX,0.0
 OOX OX X,0.0
 OOX OXXX,1.0
 OOX X  X,0.0
 OOX X OX,0.0
 OOX X X ,0.0
 OOX XOX ,1.0
 OOX XX O,1.0
 OOX XXOX,-1.0
 OOXOX  X,0.0
 OOXOXX  ,0.0
 OOXOXX X,-1.0
 OOXOXXOX,-1.0
 OOXX    ,0.0
 OOXX   X,-1.0
 OOXX  XO,0.0
 OOXX OX ,0.0
 OOXX X O,0.0
 OOXXO XX,-1.0
 OOXXOOXX,0.0
 OOXXOX  ,0.0
 OOXXOX X,-1.0
 OOXXOXOX,0.0
 OOXXOXXO,-1.0
 OOXXXO X,1.0
 OOXXXOX ,1.0
 OOXXXX O,1.0
 OX      ,0.0
 OX     X,0.0
 OX    X ,0.0
 OX    XO,0.0
 OX   O X,0.0
 OX   X  ,0.0
 OX   X O,1.0
 OX   XO ,0.0
 OX  O  X,0.0
 OX  O XX,0.0
 OX  OX  ,1.0
 OX  OXOX,0.0
 OX  X   ,0.0
 OX  X  O,0.0
 OX  X O ,0.0
 OX  X OX,1.0
 OX  XOXO,0.0
 OX  XX O,0.0
 OX  XXO ,-1.0
 OX  XXOO,0.0
 OX O   X,0.0
 OX O  X ,0.0
 OX O X  ,0.0
 OX O X X,-1.0
 OX O XOX,-1.0
 OX O XX ,0.0
 OX OX   ,0.0
 OX OX  X,1.0
 OX OX X ,0.0
 OX OX XO,0.0
 OX OXOX ,0.0
 OX OXXO ,-1.0
 OX OXXXO,-1.0
 OX X    ,0.0
 OX X   O,1.0
 OX X  O ,0.0
 OX X  OX,0.0
 OX X OOX,1.0
 OX X X O,1.0
 OX XO   ,1.0
 OX XO OX,0.0
 OX XOO X,0.0
 OX XOX  ,1.0
 OX XX  O,0.0
 OX XX OO,0.0
 OX XXO  ,0.0
 OX XXOXO,0.0
 OXO    X,0.0
 OXO   X ,0.0
 OXO   XX,0.0
 OXO  OXX,0.0
 OXO  X  ,0.0
 OXO  X X,0.0
 OXO  XOX,0.0
 OXO  XX ,0.0
 OXO O XX,1.0
 OXO OXX ,1.0
 OXO OXXX,1.0
 OXO X   ,0.0
 OXO X X ,0.0
 OXO X XO,0.0
 OXO XOX ,0.0
 OXO XX  ,0.0
 OXO XX O,0.0
 OXO XXXO,0.0
 OXOO X X,0.0
 OXOOXXXO,0.0
 OXOX    ,0.0
 OXOX  X ,0.0
 OXOX XOX,1.0
 OXOXO XX,0.0
 OXOXX   ,0.0
 OXOXX  O,0.0
 OXOXX O ,0.0
 OXOXX OX,1.0
 OXOXX XO,0.0
 OXOXXO  ,0.0
 OXOXXOX ,0.0
 OXOXXOXO,0.0
 OXOXXX O,1.0
 OXX   O ,0.0
 OXX   XO,0.0
 OXX  XO ,0.0
 OXX O XO,0.0
 OXX OOX ,0.0
 OXX OOXX,0.0
 OXX OX  ,0.0
 OXX OX O,0.0
 OXX OXXO,0.0
 OXX X  O,0.0
 OXX X OO,0.0
 OXX XOXO,0.0
 OXXO    ,0.0
 OXXO   X,0.0
 OXXO  OX,-1.0
 OXXO  XO,0.0
 OXXO X  ,0.0
 OXXOO XX,0.0
 OXXOOOXX,0.0
 OXXOOXOX,-1.0
 OXXOOXXO,1.0
 OXXOX   ,0.0
 OXXOX  O,0.0
 OXXOX XO,-1.0
 OXXOXO  ,0.0
 OXXOXOX ,0.0
 OXXOXOXO,0.0
 OXXOXXOO,-1.0
 OXXXO OX,1.0
 OXXXO XO,0.0
 OXXXOOOX,1.0
 OXXXOOX ,0.0
 OXXXOOXO,0.0
 OXXXX OO,1.0
 X       ,0.0
 X      O,0.0
 X     O ,0.0
 X     OX,0.0
 X     XO,0.0
 X    O  ,0.0
 X    O X,0.0
 X    OOX,0.0
 X    OX ,0.0
 X    X O,0.0
 X    XO ,0.0
 X   O   ,0.0
 X   O  X,0.0
 X   O OX,0.0
 X   O X ,0.0
 X   O XO,1.0
 X   OO X,0.0
 X   OOX ,0.0
 X   OX  ,0.0
 X   OX O,0.0
 X   OXO ,0.0
 X   OXOX,0.0
 X   OXXO,0.0
 X   X  O,0.0
 X   X O ,0.0
 X   X OO,0.0
 X   XO  ,0.0
 X   XOXO,0.0
 X  O    ,0.0
 X  O   X,0.0
 X  O  OX,0.0
 X  O  X ,0.0
 X  O OX ,0.0
 X  O X  ,0.0
 X  O X O,0.0
 X  O XO ,0.0
 X  O XOX,0.0
 X  OO  X,0.0
 X  OO X ,0.0
 X  OOX X,0.0
 X  OOXOX,0.0
 X  OOXX ,0.0
 X  OX   ,0.0
 X  OX  O,0.0
 X  OX OX,0.0
 X  OX XO,0.0
 X  OXO  ,0.0
 X  OXOXO,0.0
 X  OXXO ,0.0
 X  X   O,0.0
 X  X  O ,0.0
 X  X  OO,0.0
 X  X O  ,0.0
 X  X OO ,0.0
 X  X OOX,0.0
 X  X XOO,0.0
 X  XO   ,0.0
 X  XO  O,0.0
 X  XO O ,0.0
 X  XO XO,1.0
 X  XOO  ,0.0
 X  XOO X,0.0
 X  XOOOX,0.0
 X  XOX O,0.0
 X  XOXO ,0.0
 X  XOXOO,0.0
 X  XX OO,-1.0
 X  XXOO ,0.0
 X  XXOOO,-1.0
 X O     ,0.0
 X O    X,0.0
 X O   OX,0.0
 X O   X ,0.0
 X O   XO,1.0
 X O  O X,0.0
 X O  OX ,1.0
 X O  X  ,0.0
 X O  XO ,0.0
 X O  XOX,0.0
 X O O  X,0.0
 X O O X ,1.0
 X O O XX,0.0
 X O OOXX,1.0
 X O OX  ,0.0
 X O OXXO,1.0
 X O X   ,0.0
 X O X  O,0.0
 X O X O ,0.0
 X O X XO,0.0
 X O XO X,0.0
 X O XOX ,-1.0
 X O XOXO,0.0
 X O XXO ,0.0
 X O XXOO,0.0
 X OO  X ,0.0
 X OO X  ,0.0
 X OO X X,0.0
 X OO XOX,0.0
 X OOX   ,0.0
 X OOX  X,0.0
 X OOX OX,0.0
 X OOX X ,0.0
 X OOX XO,0.0
 X OOXO X,0.0
 X OOXXO ,0.0
 X OOXXOX,0.0
 X OX    ,0.0
 X OX   O,0.0
 X OX  O ,0.0
 X OX  XO,1.0
 X OX O  ,0.0
 X OX OOX,0.0
 X OX OX ,1.0
 X OX X O,0.0
 X OXO   ,1.0
 X OXO X ,1.0
 X OXOOXX,1.0
 X OXOX O,0.0
 X OXOXXO,1.0
 X OXX  O,0.0
 X OXXOXO,1.0
 X OXXXOO,0.0
 X X    O,0.0
 X X   O ,0.0
 X X  O  ,0.0
 X X  O O,0.0
 X X  OO ,0.0
 X X  OOX,0.0
 X X  OXO,0.0
 X X O   ,0.0
 X X O O ,0.0
 X X O OX,0.0
 X X OO  ,0.0
 X X OOOX,0.0
 X X OOX ,0.0
 X X OXO ,0.0
 X X X OO,0.0
 X X XOO ,0.0
 X XO    ,0.0
 X XO   O,0.0
 X XO  O ,0.0
 X XO  OX,0.0
 X XO  XO,-1.0
 X XO O  ,0.0
 X XO O X,-1.0
 X XO OOX,0.0
 X XO OX ,0.0
 X XO OXO,0.0
 X XOO X ,0.0
 X XOOOX ,0.0
 X XOOOXX,-1.0
 X XOOXO ,0.0
 X XOOXOX,0.0
 X XOX  O,0.0
 X XOX OO,0.0
 X XOXO  ,0.0
 X XOXOO ,0.0
 X XOXOXO,0.0
 X XOXXOO,0.0
 X XX OO ,0.0
 X XXO  O,0.0
 X XXO O ,0.0
 X XXO OO,0.0
 X XXOO  ,0.0
 X XXOO O,0.0
 X XXOOO ,0.0
 X XXOOOX,0.0
 X XXOXOO,0.0
 XO      ,0.0
 XO     X,0.0
 XO    X ,0.0
 XO    XO,1.0
 XO   O X,0.0
 XO   X  ,0.0
 XO   X O,0.0
 XO   XO ,0.0
 XO   XOX,0.0
